date,city_a,city_b,city_c,city_d,online,tv,type
2020-01-01,2099.3428306022465,721.0068506823725,363.2299096645917,456.55084706308435,791.9958602992506,997.0312856215295,actual
2020-01-02,1980.9078992363638,729.2511665207209,579.5218651398134,331.4134338767874,750.628637555758,893.1404611793292,actual
2020-01-03,2146.6532998864222,849.4758753711591,251.3346975186507,575.5688343128066,629.5824627763456,890.1294253174259,actual
2020-01-04,2330.2594450174556,965.7705868954172,622.3204692968447,365.12925249831085,744.6102310571185,764.4122378656166,actual
2020-01-05,1987.333093870038,1072.6816700390516,596.5134629003542,821.9790520324484,805.5495311498116,877.9689531436145,actual
2020-01-06,1995.8086016443,726.6596644576517,130.69059128028186,468.26842565743175,701.381585968211,814.7461537828426,actual
2020-01-07,2366.9023356741463,1184.295305018859,273.20001904591373,414.8377676709035,886.1176030052208,863.6531013444649,actual
2020-01-08,2212.9117827509685,828.7321398990904,447.67988613541996,433.2518836112679,584.2156732392375,807.4632254599665,actual
2020-01-09,1973.8261450648915,878.1836495191171,447.85642233733404,677.9605702918533,754.1676417701372,866.7982451418295,actual
2020-01-10,2184.4502880317073,729.5559496997365,264.2971046379792,500.8967975990248,787.9569835354702,871.5500678678937,actual
2020-01-11,1991.3831449322304,392.7388017667011,586.601888940824,408.69510764503036,769.3940731123673,917.707942659492,actual
2020-01-12,1998.9504952969862,1053.6005678371778,563.2941060611745,876.7866772910298,693.3950991348047,764.5725123937801,actual
2020-01-13,2148.4103800115363,1021.4741895064793,474.8970611007954,373.7413419504069,688.0690962592195,780.7033667029209,actual
2020-01-14,1725.1655921514619,814.0131629238174,361.3942297001885,550.1545503791311,740.190161976108,944.2722843657474,actual
2020-01-15,1770.5147160641877,880.9514496002956,723.6210953136255,675.087000885242,766.9028140656449,840.8305694636912,actual
2020-01-16,2010.581218751748,969.9667392583481,850.5037767698233,225.9953889610845,752.6731405397654,1010.2076811206938,actual
2020-01-17,1927.8678136950884,550.1031215254387,421.7724186324213,645.9586527886659,784.0040523555373,934.6742749813542,actual
2020-01-18,2200.5249672081177,753.0843865650822,396.306233758091,338.04542060612414,640.5791030053285,969.9085935185766,actual
2020-01-19,1963.1497966975896,1013.7243940373631,616.9075521776989,712.0184531833937,696.6560314613456,1043.1623088378806,actual
