date,city_a,city_b,city_c,city_d
2020-01-01,7391.4611732536205,7167.290118324872,6965.956984174234,7481.474460800394
2020-01-02,9579.22976277185,8202.412012214369,7513.486110368229,7187.746718581158
2020-01-03,9450.942989914673,9087.156919868321,7788.744553067638,6653.755634131986
2020-01-04,9306.131130340245,8635.543607640699,8579.656549823054,7174.3979102976
2020-01-05,9270.233956667922,8472.304547868944,8429.30920072061,7761.390745079783
2020-01-06,9808.565442009007,7903.099010290684,7590.635069118406,8362.28196737645
2020-01-07,10501.29176789794,8431.25691946164,8110.296628982741,7775.820246203193
2020-01-08,9838.025161358044,9217.573912007643,7896.001230524077,7521.3323336048015
2020-01-09,9959.013375442828,8665.20026208675,8616.657885780929,7474.703724547119
2020-01-10,10019.016238017519,8403.436501377031,8206.148546021443,8212.80905435
2020-01-11,10309.061093216682,8046.7579785145845,8125.7174330331945,8539.010438382167
2020-01-12,8602.630055240326,8812.988359534162,8430.498608684216,8510.098395319867
2020-01-13,9997.927933624653,8788.057387384699,8913.587177559099,8138.263030342173
2020-01-14,9929.687710154383,8693.482913173415,7908.89133779574,7194.2329379273315
2020-01-15,8745.05947657501,9527.718579864388,8667.424304069382,7788.035377027784
2020-01-16,9132.102506969968,9748.536093806077,8684.928547926953,8857.561109126298
2020-01-17,9144.264071072896,7855.271959024488,8613.879124390556,8544.78388782562
2020-01-18,9332.035006811173,8833.391975605797,7932.695551834535,7134.47176212471
2020-01-19,9414.616130257149,8555.446677884418,8527.030035416044,8047.009396751185
2020-01-20,9622.747229892984,8525.48484223186,8861.849935175724,8078.703828951296
2020-01-21,10354.56402284985,8996.946078332174,7885.327658071321,7644.325617071704
2020-01-22,10407.241749231722,8598.63695090352,7914.620390256619,6994.88814533672
2020-01-23,9432.242018917826,8981.919872492354,7504.284778469909,8174.555294265199
2020-01-24,9306.011789765407,9266.05072056832,8021.3546327071535,7683.840646281872
2020-01-25,10387.769908733551,8803.566122316455,8838.017858384203,7683.563451071923
2020-01-26,10164.63688037228,8644.36355798465,7694.39430211906,7811.052444625969
2020-01-27,9770.114683640693,8498.935489268099,8299.1338504368,8089.753186031771
2020-01-28,10107.61936157224,8009.085183505925,8768.327210381,8026.43178980074
2020-01-29,9779.518345485832,8402.680854283142,8355.333117794664,7497.201244300403
2020-01-30,10169.389335707452,10101.28188649669,8511.245864166081,8019.871539348614
2020-01-31,9670.209721190338,8451.83084721224,8713.893255817411,7204.664806440343
2020-02-01,10282.91671671825,8306.18668602645,8695.887716129555,8191.083638902732
2020-02-02,9236.769647876565,9137.045686933787,8626.200918804752,6549.004956632267
2020-02-03,9478.365178315298,8978.75379421729,8327.734461538521,7886.721623842254
2020-02-04,9728.371777772034,8934.688225648946,9762.423054139374,8583.086131182528
2020-02-05,9698.734606305126,9648.195553315854,9005.117764866203,7649.745541117109
2020-02-06,9502.262045452737,9070.646578356627,9995.11736271466,8595.4427236458
2020-02-07,9452.480312780586,8591.597699547272,8024.398952976856,8756.281430458153
2020-02-08,8992.152576988525,8535.753005928125,8467.274835643393,6502.320594720448
2020-02-09,10177.490166275442,8118.046629381925,7809.898059368676,8071.818221683845
2020-02-10,10055.741772585116,9220.845021459105,8252.568927353608,6734.7725990086155
2020-02-11,9253.362495949978,8898.407502926948,9737.554174453746,8242.500114280629
2020-02-12,9586.770053595532,7665.69587546113,8264.370395647189,8134.82985054508
2020-02-13,10182.243549439914,8645.084057384141,9513.893856367238,6939.002865662781
2020-02-14,9572.975852779371,8174.682558458181,8034.6474669695335,9097.736193837247
2020-02-15,9550.92140823513,10365.926607584572,8029.872398609695,8236.949632830969
2020-02-16,9959.450211005778,8633.885817306093,8670.261769535842,7806.360476763681
2020-02-17,10436.942588327393,8887.95795313253,8735.197422180197,9037.048530819864
